drop_features,feature_selection,model,with_grid_search_cv,uid,LABEL_Sepsis_score,task2_score
False,False,SVC_rbf,False,FalseFalseSVC_rbfFalse,0.5282901886102235,0.5282901886102235
False,l1_SVC,SVC_sig,False,Falsel1_SVCSVC_sigFalse,0.4828537383127293,0.4978743692370593
True,l1_SVC,grad_boosting,False,Truel1_SVCgrad_boostingFalse,0.6993318485523385,0.6993318485523385
False,l1_SVC,SVC_rbf,False,Falsel1_SVCSVC_rbfFalse,0.5066088893192602,0.6991038862528647
True,False,random_forest_cl,False,TrueFalserandom_forest_clFalse,0.6737240835781069,0.6991038862528647
True,False,SVC_rbf,False,TrueFalseSVC_rbfFalse,0.4856040799199509,0.6991038862528647
True,False,grad_boosting,False,TrueFalsegrad_boostingFalse,0.6931587101772054,0.6991038862528647
False,l1_SVC,random_forest_cl,False,Falsel1_SVCrandom_forest_clFalse,0.7064659253520975,0.7064659253520975
True,l1_SVC,SVC_sig,False,Truel1_SVCSVC_sigFalse,0.485009629557901,0.7064659253520975
False,False,SVC_sig,False,FalseFalseSVC_sigFalse,0.479087989412866,0.7064659253520975
True,l1_SVC,SVC_rbf,False,Truel1_SVCSVC_rbfFalse,0.4918579129143668,0.7064659253520975
True,l1_SVC,random_forest_cl,False,Truel1_SVCrandom_forest_clFalse,0.6787782565658522,0.7064659253520975
False,l1_SVC,grad_boosting,False,Falsel1_SVCgrad_boostingFalse,0.7181283152039422,0.7181283152039422
True,l1_SVC,SVC_rbf,False,Truel1_SVCSVC_rbfFalse,0.4991661556007445,0.7064659253520975
False,False,grad_boosting,False,FalseFalsegrad_boostingFalse,0.7052696276212302,0.7182883595321864
False,False,grad_boosting,False,FalseFalsegrad_boostingFalse,0.7028649279666033,0.7064659253520975
False,False,random_forest_cl,False,FalseFalserandom_forest_clFalse,0.6993721958619799,0.7182883595321864
True,False,SVC_sig,False,TrueFalseSVC_sigFalse,0.4827918724379458,0.7064659253520975
True,False,SVC_sig,False,TrueFalseSVC_sigFalse,0.48279590716890997,0.7182883595321864
